OBJECTID,BDEPT,BIN,AllBridges_2015April_Health_Index,Item_6A,Item_7,Item_8_Bridge_Cat,Item___8_Owner,AllBridges_2015April_Item_16A,AllBridges_2015April_Item__16B,AllBridges_2015April_Item__16C,AllBridges_2015April_Item__17A,AllBridges_2015April_Item__17B,AllBridges_2015April_Item__17C,AllBridges_2015April_Item_26,AllBridges_2015April_Item_28A,AllBridges_2015April_Item_29,AllBridges_2015April_Item_49,AllBridges_2015April_Item_52,AllBridges_2015April_Item_58,AllBridges_2015April_Item_104,AllBridges_2015April_Posting_2_Axle,AllBridges_2015April_Posting_3_Axle,AllBridges_2015April_Posting_5_Axle,AllBridges_2015April_Struct_Def,AllBridges_2015April_Town_Name,AllBridges_2015April_RPA
109,M10002,28M,0.8893,WATER ASSABET RIVER,ST117 GREAT RD,NBI,DOT,42,25,42.4091,71,28,7.0104,14,2,12210,18.3,15.6,N,True,0,0,0,False,Maynard,MAPC
110,H25003,28P,0.3642,WATER ASSABET RIVER,ST 85 WASHNGTON ST,NBI,DOT,42,23,25.4688,71,34,12.9144,14,2,39200,18.6,14.7,N,True,20,25,40,True,Hudson,MAPC
111,N03020,28Q,0.8096,ST  9 WORCESTER ST,ST 27 N MAIN ST,NBI,DOT,42,17,59.964,71,21,35.7552,14,2,28000,30.2,16,5,True,0,0,0,True,Natick,MAPC
112,A02001,28R,0.7318,WATER ASSABET RIVER,ST 62 PWDR MILL RD,NBI,DOT,42,26,27.388,71,25,46.146,14,3,27800,23.7,15,6,True,0,0,0,False,Acton,MAPC
113,M10004,28T,0.7274,WATER ASSABET RIVER,ST 62 MAIN ST,NBI,DOT,42,25,54.447,71,27,18.4242,14,2,8000,18.9,16,4,True,0,0,0,True,Maynard,MAPC
114,M06018,28V,0.9598,HWY   PLEASANT ST,HWY   85 CONNECTOR,NBI,DOT,42,22,9.9048,71,34,34.4706,14,2,20834,27.7,14.4,7,True,0,0,0,False,Marlborough,MAPC
115,N03033,291,0.559,ST  9 & RAMP A,HWY   SPEEN ST SB,NBI,DOT,42,17,57.7103,71,22,44.6448,16,3,20000,50.9,15.7,6,True,0,0,0,False,Natick,MAPC
116,N03035,293,0.7483,ST  9 WORCESTER ST,HWY   SPEEN ST NB,NBI,DOT,42,17,57.6456,71,22,36.1164,14,3,21600,30.8,15.8,6,True,0,0,0,False,Natick,MAPC
117,B16645,7GD,0.9992,COMB  AMTRAK/MBTA&RED LN,HWY   S BOS BYPASS,NBI,DOT,42,20,4.2072,71,3,41.9255,16,2,8530,555.5,11,7,True,0,0,0,False,Boston,MAPC
118,R05007,7L5,1,WATER PINES RIVER,ST107 SALEM TPK,NBI,DOT,42,25,51.36,70,59,50.56,14,4,26300,46.3804,26.797,8,True,0,0,0,False,Revere,MAPC
119,B16645,7LF,1,HWY   WYDETT CIR ACC RD,HWY   S BOS BYPASS,NBI,DOT,42,20,2.8572,71,3,45.81,16,2,4300,36.1,13.6,6,True,0,0,0,False,Boston,MAPC
120,W31013,7RD,1,RR    MBTA/CSX,I  95 SB/US1NB,NBI,DOT,42,13,32.4516,71,10,39.9935,11,3,155500,49.42,23.91,7,True,0,0,0,False,Westwood,MAPC
121,L10016,2BJ,0.9688,WATER KILN BROOK,HWY   HARTWELL AVE,NBI,MUN,42,28,11.1215,71,15,34.668,14,2,25000,17.7,13.9,6,True,0,0,0,False,Lexington,MAPC
122,W04004,2CA,0.72,WATER CHARLES RIVER,HWY   MOODY ST,NBI,MUN,42,22,23.61,71,14,11.6304,14,4,23500,68.6,20,N,True,0,0,0,False,Waltham,MAPC
123,W40027,2CK,0.6592,WATER ABERJONA RIVER,HWY   SKILLINGS RD,NBI,MUN,42,27,22.4856,71,8,10.5828,14,2,13700,12.7,17.7,N,True,0,0,0,False,Winchester,MAPC
