OBJECTID,AllBridges_2016April_BDEPT,AllBridges_2016April_BIN,AllBridges_2016April_Health_Index,AllBridges_2016April_Item_6A,AllBridges_2016April_Item_7,AllBridges_2016April_Item_8,AllBridges_2016April_Item_8_Bridge_Cat,AllBridges_2016April_Item_8_Owner,AllBridges_2016April_Item_16A,AllBridges_2016April_Item_16B,AllBridges_2016April_Item_16C,AllBridges_2016April_Item_17A,AllBridges_2016April_Item_17B,AllBridges_2016April_Item_17C,AllBridges_2016April_Item_26,AllBridges_2016April_Item_28A,AllBridges_2016April_Item_29,AllBridges_2016April_Item_49,AllBridges_2016April_Item_51,AllBridges_2016April_Item_52,AllBridges_2016April_Item_58,AllBridges_2016April_Item_104,AllBridges_2016April_Posting_2_Axle,AllBridges_2016April_Posting_3_Axle,AllBridges_2016April_Posting_5_Axle,AllBridges_2016April_Struct_Def,AllBridges_2016April_Town_Name
2495,W04033,2.00E+04,0.631,I  95 /ST128,US 20 EB/WESTON ST,W040332E4DOTNBI,NBI,DOT,42,22,12.2268,71,16,9.5303,14,2,29250,75.6,12.2,15.3,5,TRUE,0,0,0,FALSE,Waltham
2496,W10005,2.00E+05,0.7041,RR    BMRR (ABANDONED),US 20 MAIN ST,W100052E5DOTNBI,NBI,DOT,42,22,12.0324,71,11,34.3355,14,2,24000,17.1,13.4,18.7,6,TRUE,0,0,0,FALSE,Watertown
2497,W29011,2.00E+06,0.7715,RR    MBTA/BMRR,US 20 EB,W290112E6DOTNBI,NBI,DOT,42,22,9.2568,71,16,16.1903,14,1,24500,42.7,8.4,11.1,6,TRUE,0,0,0,FALSE,Weston
2498,W29028,2.00E+07,0.7264,RR    MBTA/BMRR,US 20 WB,W290282E7DOTNBI,NBI,DOT,42,22,10.4412,71,16,16.8671,14,1,26100,12.2,8.5,11.7,6,TRUE,0,0,0,FALSE,Weston
2499,W38034,2.00E+08,0.6773,I  93,ST125 BALLRDVLE ST,W380342E8DOTNBI,NBI,DOT,42,35,2.75,71,9,27.75,14,2,29200,97.5,13.4,15.2,5,TRUE,0,0,0,FALSE,Wilmington
2500,W13014,2.00E+09,0.9999,ST  9 WORCESTER ST,ST 16 WASHNGTON ST,W130142E9DOTNBI,NBI,DOT,42,18,51.1092,71,16,20.3051,14,3,32200,45.7,12.2,18.6,7,TRUE,0,0,0,FALSE,Wellesley
2501,Q01001,2EA,0.669999921,WATER FORE RIVER,ST  3 A/WSHNGTN ST,Q010012EADOTCLO,CLO,DOT,42,14,39.5052,70,58,4.2888,14,4,41000,403.3,18.3,23.2,0,TRUE,0,0,0,FALSE,Quincy
2502,N12004,2EB,0.3416,WATER CHARLES RIVER,ST  9 BOYLSTON ST,N120042EBDOTNBI,NBI,DOT,42,19,0.8616,71,13,40.9835,19,6,56250,23.2,7.3,49.1,N,TRUE,0,0,0,FALSE,Newton
2503,N12052,2EC,0.5504,HWY   HAMMOND POND PKWY,ST  9 BOYLSTON ST,N120522ECDOTNBI,NBI,DOT,42,19,16.4387,71,10,20.7371,14,4,50000,39.6,14.6,17.7,N,TRUE,0,0,0,FALSE,Newton
2504,N12051,2ED,0.7416,HWY   CENTRE ST,ST  9 BOYLSTON ST,N120512EDDOTNBI,NBI,DOT,42,19,9.8508,71,12,25.0091,14,4,54200,29,15.2,18.9,5,TRUE,0,0,0,FALSE,Newton
2505,N12040,2EE,0.6525,TR    GREEN LINE D,ST  9 BOYLSTON ST,N120402EEDOTNBI,NBI,DOT,42,19,9.7788,71,12,30.9384,14,4,81465,17.1,19.5,27.4,5,TRUE,0,0,0,FALSE,Newton
2506,N12049,2EF,0.3321,HWY   CHESTNUT ST,ST  9 BOYLSTON ST,N120492EFDOTNBI,NBI,DOT,42,19,1.47,71,13,32.8115,14,4,59200,17.7,14.6,17.7,N,TRUE,0,0,0,FALSE,Newton
