OBJECTID,City_num,RPA,Town_Name,All_Injuries_2004,All_Injuries_2005,All_Injuries_2006,All_Injuries_2007,All_Injuries_2008,All_Injuries_2009,All_Injuries_2010,All_Injuries_2011,All_Injuries_2012,All_Injuries_2013,All_Fatalities_2004,All_Fatalities_2005,All_Fatalities_2006,All_Fatalities_2007,All_Fatalities_2008,All_Fatalities_2009,All_Fatalities_2010,All_Fatalities_2011,All_Fatalities_2012,All_Fatalities_2013
69,244,MAPC,Randolph,248,291,330,325,268,290,227,271,147,82,0,3,4,2,2,1,2,1,4,1
70,246,MAPC,Reading,139,181,130,135,116,60,106,75,99,83,1,0,0,0,2,3,1,1,0,1
71,248,MAPC,Revere,468,471,593,449,446,420,347,345,298,313,3,5,4,6,2,4,5,3,0,3
72,251,MAPC,Rockland,155,169,177,174,140,134,127,124,116,51,3,1,1,0,0,3,1,0,1,2
73,252,MAPC,Rockport,11,13,26,10,25,25,20,11,12,2,0,0,0,0,0,0,0,0,0,0
74,258,MAPC,Salem,473,464,439,347,306,356,366,296,311,270,3,1,2,2,2,3,1,3,4,2
75,262,MAPC,Saugus,423,482,388,331,348,335,263,212,186,248,3,2,3,2,1,5,2,3,1,1
76,264,MAPC,Scituate,53,39,45,40,27,26,17,19,36,47,1,0,1,2,0,0,2,0,1,0
77,266,MAPC,Sharon,129,148,109,98,97,92,90,88,112,126,1,1,5,1,1,1,2,1,1,0
78,269,MAPC,Sherborn,57,64,46,51,52,47,50,37,63,51,0,0,0,0,0,0,0,0,0,0
79,274,MAPC,Somerville,457,535,520,529,491,373,355,327,334,343,2,2,1,3,1,3,1,4,0,1
80,277,MAPC,Southborough,74,108,91,99,79,68,34,57,43,56,1,2,0,2,1,2,0,1,0,1
81,284,MAPC,Stoneham,185,224,194,199,183,129,135,145,117,141,1,2,0,2,3,0,0,0,2,0
82,285,MAPC/OCPC,Stoughton,318,285,338,287,248,295,220,264,220,225,1,5,1,3,1,3,5,1,3,2
83,286,MAPC,Stow,34,35,26,46,38,25,24,16,24,23,0,0,0,0,0,0,0,0,0,1
84,288,MAPC,Sudbury,120,118,101,90,109,88,113,97,96,79,0,0,1,0,0,3,1,2,1,1
85,291,MAPC,Swampscott,95,131,128,112,78,73,111,148,77,83,1,0,0,1,0,0,0,0,0,0
86,298,MAPC,Topsfield,71,74,37,51,42,50,47,41,40,21,1,1,0,0,1,0,0,0,0,0
87,305,MAPC,Wakefield,194,184,187,157,132,139,67,20,103,100,2,1,4,0,2,5,1,0,0,0
88,307,MAPC,Walpole,189,195,170,123,144,138,135,132,153,132,1,0,2,1,0,4,4,0,0,1
89,308,MAPC,Waltham,504,433,444,406,456,431,463,440,379,406,4,0,2,3,0,1,5,4,1,2
90,314,MAPC,Watertown,182,247,169,177,164,135,153,149,183,152,2,0,4,0,1,1,0,0,0,1
91,315,MAPC,Wayland,87,84,65,76,46,78,57,76,63,70,0,0,1,0,1,1,1,0,0,0
92,317,MAPC,Wellesley,244,230,197,188,149,149,152,159,138,169,0,0,0,3,1,0,2,0,2,1
93,320,MAPC,Wenham,22,44,26,31,18,19,24,20,23,17,0,1,0,0,1,0,1,0,0,1
94,333,MAPC,Weston,200,191,220,153,181,147,153,145,164,160,2,4,1,4,2,0,0,0,3,1
95,335,MAPC,Westwood,193,184,164,128,158,121,119,115,91,126,1,0,0,1,1,1,0,0,0,1
96,336,MAPC,Weymouth,449,509,458,447,409,444,418,457,402,417,4,3,0,0,1,2,0,6,4,0
97,342,MAPC,Wilmington,325,242,218,280,230,237,214,218,178,200,3,1,3,0,1,1,1,3,0,1
98,344,MAPC,Winchester,104,83,84,71,67,39,14,61,62,43,0,1,2,0,0,0,1,0,0,0
99,346,MAPC,Winthrop,39,46,52,44,29,44,39,27,19,37,0,0,1,0,0,0,0,0,0,0
100,347,MAPC,Woburn,389,513,531,494,537,430,391,277,344,286,2,5,2,1,3,3,1,1,2,0
101,350,MAPC,Wrentham,147,149,128,132,144,138,122,107,126,132,1,0,6,1,3,2,1,2,0,1
999,999,MAPC,Total,22635,25423,24568,21982,20568,17941,17270,15948,16252,16356,157,131,145,147,134,135,117,125,135,105
