"bridgeId","healthIndex","year","structDef","town"
"3B9","0.7556","2007","FALSE","Medford"
"3BA","0.9645","2007","FALSE","Quincy"
"3BB","0.9636","2007","FALSE","Quincy"
"3BC","0.7115","2007","FALSE","Quincy"
"3BD","0.9579","2007","FALSE","Quincy"
"3BE","0.7598","2007","FALSE","Quincy"
"3BF","1","2007","FALSE","Boston"
"3BG","0.9801","2007","FALSE","Boston"
"3BH","0.7309","2007","FALSE","Somerville"
"3BJ","0.841000731","2007","FALSE","Somerville"
"3BK","0.9785","2007","FALSE","Somerville"
"3BL","0.9744","2007","FALSE","Somerville"
"3BM","0.989","2007","FALSE","Boston"
"3BN","0.7948","2007","FALSE","Somerville"
"3BP","0.8425","2007","FALSE","Boston"
"3BQ","0.89760088","2007","FALSE","Boston"
"3BR","0.9113","2007","FALSE","Boston"
"3BT","0.9953","2007","FALSE","Boston"
"3BU","0.9889","2007","FALSE","Boston"
"3BV","0.9941","2007","FALSE","Boston"
"3BW","0","2007","FALSE","Boston"
"3BX","0","2007","FALSE","Boston"
"3C2","0.9222","2007","FALSE","Boston"
"3C3","0.320000035","2007","FALSE","Boston"
"3C5","0.5169","2007","FALSE","Boston"
"3C8","0.8233","2007","FALSE","Boston"
"3C9","-1","2007","FALSE","Boston"
"3CA","0.9948","2007","FALSE","Boston"
"3CC","0.7401","2007","FALSE","Boston"
"3CD","-1","2007","FALSE","Boston"
"3CE","0.9537","2007","FALSE","Boston"
"3CF","0","2007","FALSE","Boston"
"3CG","0.944299414","2007","FALSE","Boston"
"3CH","0","2007","FALSE","Boston"
"3CJ","-1","2007","FALSE","Boston"
"3CK","0","2007","FALSE","Boston"
"3CL","0.4846","2007","FALSE","Boston"
"3CM","0.4482","2007","FALSE","Boston"
"3CN","0.6933","2007","FALSE","Boston"
"3CP","0.5056","2007","FALSE","Boston"
"3CQ","0","2007","FALSE","Boston"
"3CR","0.6843","2007","FALSE","Boston"
"3CT","0.7277","2007","FALSE","Boston"
"3CU","0.708500645","2007","FALSE","Boston"
"3CV","0.9768","2007","FALSE","Boston"
"3CX","0.777777778","2007","FALSE","Boston"
"3CY","0.777777778","2007","FALSE","Boston"
"3D0","0.7305","2007","FALSE","Boston"
"3D1","0.8383","2007","FALSE","Boston"
"3D2","0.9777","2007","FALSE","Boston"
"3D3","1","2007","FALSE","Boston"
"3D4","0.9308","2007","FALSE","Boston"
"3D5","0.6117","2007","FALSE","Boston"
"3D6","0.5665","2007","FALSE","Boston"
"3D8","0.4781","2007","FALSE","Boston"
"3DA","0.5956","2007","FALSE","Boston"
"3DB","0.67269974","2007","FALSE","Boston"
"3DC","0.9507","2007","FALSE","Boston"
"3DD","0.9876","2007","FALSE","Boston"
"3DE","0.5233","2007","FALSE","Boston"
"3DF","0.4013","2007","FALSE","Boston"
"3DG","0.475","2007","FALSE","Boston"
"3DH","0.5909","2007","FALSE","Boston"
"3DJ","0.6729","2007","FALSE","Boston"
"3DK","0.577100889","2007","FALSE","Boston"
"3DL","0.595699918","2007","FALSE","Boston"
"3DM","0.8081","2007","FALSE","Boston"
"3DN","0.9426","2007","FALSE","Boston"
"3DP","0.5957","2007","FALSE","Boston"
"3DQ","0.6784","2007","FALSE","Boston"
"3DT","0.5873","2007","FALSE","Boston"
"3DU","0.6724","2007","FALSE","Boston"
"3DV","0.4619","2007","FALSE","Boston"
"3DW","0.8451","2007","FALSE","Boston"
"3DX","0.698","2007","FALSE","Boston"
"3DY","0.87","2007","FALSE","Boston"
"3.00E+00","0.7153","2007","FALSE","Boston"
"3.00E+01","0.6719","2007","FALSE","Boston"
"3.00E+02","0.4537","2007","FALSE","Boston"
"3.00E+03","0.8222","2007","FALSE","Boston"
"3.00E+04","0","2007","FALSE","Boston"
"3.00E+05","0.996","2007","FALSE","Boston"
"3.00E+06","0.7155","2007","FALSE","Boston"
"3.00E+07","0.979","2007","FALSE","Boston"
"3.00E+08","0.441","2007","FALSE","Boston"
"3.00E+09","0.9968","2007","FALSE","Boston"
"3EA","0.9958","2007","FALSE","Boston"
"3EB","0.7664","2007","FALSE","Boston"
"3EC","0.6927","2007","FALSE","Boston"
"3ED","0.9846","2007","FALSE","Boston"
"3EE","0.9888","2007","FALSE","Boston"
"3EG","0.7565","2007","FALSE","Boston"
"3EH","0.7128","2007","FALSE","Boston"
"3EJ","0.8046","2007","FALSE","Boston"
"3EV","0.965","2007","FALSE","Boston"
"3EW","0.8135","2007","FALSE","Boston"
"3F1","1","2007","FALSE","Cambridge"
"3F3","0.9008","2007","FALSE","Boston"
"3F5","1","2007","FALSE","Quincy"
"3FC","0.3344","2007","FALSE","Medford"
"3FU","0.9938","2007","FALSE","Cambridge"
"3FV","0.5002","2007","FALSE","Cambridge"
"3GH","0.7648","2007","FALSE","Everett"
"3GK","0.7486","2007","FALSE","Everett"
"3GV","0.3741","2007","FALSE","Boston"
"3H2","0.8162","2007","TRUE","Boston"
"3H3","0.509","2007","FALSE","Boston"
"3PL","0.9615","2007","FALSE","Foxborough"
"3PM","0.9964","2007","FALSE","Foxborough"
"3PN","0.8138","2007","FALSE","Norwood"
"3PP","0.9907","2007","FALSE","Norwood"
"3PQ","0.5519","2007","FALSE","Sharon"
"3PR","0.5688","2007","FALSE","Sharon"
"3PT","0.556","2007","FALSE","Sharon"
"3PU","0.9257","2007","FALSE","Walpole"
